Index | Value | Parent | Sibling
1 | program | 0 | 0
2 | prgrm | 1 | 0
3 | identifier | 1 | 2
4 | ; | 1 | 3
5 | var | 1 | 4
6 | decllist | 1 | 5
7 | begin | 1 | 6
8 | stmtlist | 1 | 7
9 | end | 1 | 8
10 | . | 1 | 9
11 | letter | 3 | 0
12 | string | 3 | 11
13 | l | 11 | 0
14 | char | 12 | 0
15 | string | 12 | 14
16 | letter | 15 | 0
17 | a | 16 | 0
18 | char | 6 | 0
19 | string | 6 | 18
20 | letter | 19 | 0
21 | b | 20 | 0
22 | char | 8 | 0
23 | string | 8 | 22
24 | digit | 23 | 0
25 | nonzero | 24 | 0
26 | 1 | 25 | 0
